dem,dist2canal,saltwater_max,groundwater_max,gw_duration,degradation
0.38054,1471.22398,-0.219788897,-0.004624841,1,1
0.23622,1500.29997,-0.071583022,0.123282783,1,1
0.33377,1530.294089,-0.169133022,0.025732783,1,1
0.47378,1560.288435,-0.307433897,-0.192244775,0.98630137,1
0.34838,1500,-0.188292945,0.090398088,0.920547945,1
0.37854,1530,-0.21856407,-0.042217529,0.136986301,1
0.3902,1560,-0.225825377,-0.127909964,0.339726027,1
0.32549,1500,-0.138477114,0.056828864,0.219178082,1
0.32255,1530,-0.16257407,0.013772471,0.136986301,1
0.32221,1560,-0.157835377,-0.059919964,0.339726027,1
0.40268,1530.294089,-0.24270407,-0.066357529,0.136986301,1
0.45932,1501.19952,-0.279679652,-0.085445421,0.380821918,1
0.50848,1531.176019,-0.353898949,-0.190674518,0.249315068,1
0.42305,1502.697574,-0.243409652,-0.049175421,0.380821918,1
0.44909,1532.644773,-0.294508949,-0.131284518,0.249315068,1
0.48553,1562.593997,-0.330948949,-0.167724518,0.246575342,1
0.40821,1504.792344,-0.228569652,-0.034335421,0.380821918,1
0.51057,1534.698667,-0.355988949,-0.192764518,0.249315068,1
0.48316,1507.481343,-0.303519652,-0.109285421,0.380821918,1
0.45713,1537.335357,-0.301007604,-0.169780935,0.967123288,1
0.47076,1430.279693,-0.317730861,-0.164252083,0.246575342,1
0.50167,1406.164997,-0.35464333,-0.139516758,0.539726027,1
0.54575,1382.931669,-0.404395147,-0.153998833,0.706849315,1
0.38735,1465.400969,-0.250919912,-0.04320788,1,1
0.44881,1224.499898,-0.330865564,0.004551178,0.920547945,1
0.26212,364.9657518,-0.040837801,0.107772732,1,1
0,400.2499219,0.228179454,0.369379584,0.463013699,1
0.30217,648.9992296,-0.309531344,0.146636467,0.090410959,1
0.24201,674.1661516,-0.250325942,0.192016938,0.068493151,1
0.72883,971.6480844,-0.55793533,-0.036939549,0.739726027,1
0.30803,807.2174428,-0.290326733,0.200872656,0.265753425,1
